,Unnamed: 0,Unnamed: 0.1,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,keywords,release date
794,1023,1023,Time Crisis: Razing Storm,PS3,2010.0,Shooter,Namco Bandai Games,0.36,0.4,0.14,0.16,1.08,58.0,98.0,5.9,30.0,Nex Entertainment,T,"Time Crisis: Razing Storm,Razing Storm,Time Crisis",11/5/2010
797,1027,1027,Tatsunoko vs. Capcom: Ultimate All-Stars,Wii,2010.0,Fighting,Capcom,0.6,0.3,0.06,0.1,1.06,85.0,124.0,8.8,170.0,Eighting,T,"Tatsunoko vs. Capcom,Ultimate All-Stars,Tatsunoko vs. Capcom: Ultimate All-Stars",1/26/2010
798,1029,1029,Dragon's Crown,PS3,2013.0,Role-Playing,Nippon Ichi Software,0.64,0.19,0.46,0.15000000000000002,1.4100000000000001,80.66666666666667,139.0,8.333333333333334,774.0,Vanillaware,T,Dragon's Crown,10/10/2013
802,1035,1035,StarCraft II: Legacy of the Void,Windows,2015.0,Strategy,Activision,0.38,0.58,0.0,0.08,1.06,88.0,124.0,8.3,1666.0,Blizzard Entertainment,T,"StarCraft II,Legacy of the Void,StarCraft II: Legacy of the Void",11/10/2015
805,1039,1039,Batman: Arkham City,Windows,2011.0,Action,Warner Bros. Interactive Entertainment,0.32,0.56,0.0,0.18,1.06,91.0,54.0,8.6,3694.0,Rocksteady Studios,T,"Batman,Batman: Arkham City,Arkham City",11/22/2011
810,1046,1046,Sesame Street: Once Upon A Monster,Xbox 360,2011.0,Misc,Warner Bros. Interactive Entertainment,0.78,0.18,0.0,0.08,1.04,79.0,52.0,6.9,44.0,Double Fine Productions,E,"Sesame Street,Sesame Street: Once Upon A Monster,Once Upon A Monster",10/11/2011
812,1049,1049,Rory McIlroy PGA Tour,PS4,2015.0,Action,Electronic Arts,0.52,0.59,0.0,0.18,1.31,60.666666666666664,92.0,3.9,233.0,EA Tiburon,E,Rory McIlroy PGA Tour,7/14/2015
813,1050,1050,SingStar Dance,PS3,2010.0,Misc,Sony Computer Entertainment,0.18,0.62,0.0,0.22,1.04,65.0,42.0,3.9,16.0,SCEE London Studio,T,SingStar Dance,11/9/2010
814,1051,1051,Lords of the Fallen,PS4,2014.0,Role-Playing,Square Enix,0.45999999999999996,0.58,0.04,0.18,1.26,69.0,103.0,6.633333333333333,1016.0,"City Interactive, Deck 13",M,Lords of the Fallen,10/28/2014
815,1052,1052,Kirby and the Rainbow Curse,Wii U,2015.0,Platform,Nintendo,0.44,0.26,0.24,0.08,1.04,73.0,144.0,8.0,454.0,HAL Labs,E,"Kirby and the Rainbow Curse,Kirby",2/20/2015
819,1058,1058,Epic Mickey 2: The Power of Two,Xbox 360,2012.0,Action,Disney Interactive Studios,0.85,0.48,0.0,0.16,1.49,59.0,106.0,5.1000000000000005,68.0,Blitz Games Studios,E,"Epic Mickey 2: The Power of Two,The Power of Two,Epic Mickey 2,Epic Mickey 2: The Power of",11/18/2012
821,1062,1062,Major League Baseball 2K10,Xbox 360,2010.0,Sports,Take-Two Interactive,1.6600000000000001,0.09,0.0,0.16000000000000003,1.92,,,2.9285714285714284,,Visual Concepts,E,Major League Baseball 2K10,3/2/2010
828,1071,1071,Unit 13,Vita,2012.0,Shooter,Sony Computer Entertainment,0.5,0.26,0.08,0.14,1.0,71.0,120.0,7.5,338.0,Zipper Interactive,T,"Unit 13,Unit",3/6/2012
829,1072,1072,R.U.S.E.,PS3,2010.0,Strategy,Ubisoft,0.52,0.74,0.04,0.22,1.54,76.5,152.0,7.425,314.0,Eugen Systems,T,R.U.S.E.,9/7/2010
830,1073,1073,Theatrhythm: Final Fantasy,3DS,2012.0,Misc,Square Enix,0.44,0.14,0.36,0.04,1.0,78.0,120.0,7.8,226.0,Indies Zero,E10+,"Theatrhythm: Final Fantasy,Theatrhythm,Final Fantasy",7/3/2012
831,1077,1077,Major League Baseball 2K12,Xbox 360,2012.0,Sports,Take-Two Interactive,1.45,0.0,0.0,0.10999999999999999,1.55,,,3.271428571428572,,Visual Concepts,E,Major League Baseball 2K12,3/6/2012
832,1079,1079,Madden NFL 13,Wii,2012.0,Sports,Electronic Arts,1.15,0.0,0.0,0.08,1.23,,,7.1000000000000005,38.0,EA Tiburon,E,"Madden,Madden NFL,Madden NFL 13",8/28/2012
835,1082,1082,Ridge Racer 3D,3DS,2011.0,Racing,Namco Bandai Games,0.38,0.3,0.24,0.06,0.98,75.0,118.0,7.2,112.0,Namco Bandai Games,E,Ridge Racer 3D,3/25/2011
837,1086,1086,Babysitting Mama,Wii,2010.0,Simulation,505 Games,0.66,0.24,0.0,0.08,0.98,,,0.0,,Cooking Mama Limited,E,Babysitting Mama,11/5/2010
838,1087,1087,Bleach: Soul Resurreccion,PS3,2011.0,Fighting,Nippon Ichi Software,0.54,0.2,0.14,0.1,0.98,58.0,68.0,7.2,92.0,Racjin,T,"Soul Resurreccion,Bleach,Bleach: Soul Resurreccion",8/3/2011
839,1089,1089,Plants vs. Zombies: Garden Warfare 2,PS4,2016.0,Shooter,Electronic Arts,0.69,0.57,0.0,0.2,1.46,80.66666666666667,122.0,7.833333333333333,301.0,PopCap,E10+,"Plants vs. Zombies: Garden Warfare 2,Plants vs. Zombies: Garden Warfare,Garden Warfare 2,Plants vs. Zombies",2/23/2016
841,1091,1091,Resident Evil: The Mercenaries 3D,3DS,2011.0,Action,Capcom,0.32,0.32,0.26,0.06,0.98,65.0,138.0,6.4,220.0,Capcom,M,"The Mercenaries 3D,Resident Evil,Resident Evil: The Mercenaries 3D",6/28/2011
842,1092,1092,Epic Mickey: Power of Illusion,3DS,2012.0,Action,Disney Interactive Studios,0.72,0.08,0.08,0.08,0.98,,,,,,,"Epic Mickey,Power of Illusion,Epic Mickey: Power of Illusion",11/18/2012
846,1098,1098,Asphalt 3D,3DS,2011.0,Racing,Ubisoft,0.54,0.32,0.04,0.08,0.98,43.0,74.0,4.4,48.0,Gameloft,E10+,Asphalt 3D,3/27/2011
847,1099,1099,Steel Diver,3DS,2011.0,Action,Nintendo,0.62,0.18,0.1,0.06,0.98,58.0,110.0,6.3,58.0,Nintendo,E10+,Steel Diver,3/27/2011
848,1103,1103,Skylanders: SuperChargers,Wii U,2015.0,Action,Activision,1.32,0.97,0.0,0.26999999999999996,2.57,,,,,Vicarious Visions,E10+,"Skylanders: SuperChargers,Skylanders,SuperChargers",9/20/2015
849,1105,1105,MotorStorm: Apocalypse,PS3,2011.0,Racing,Sony Computer Entertainment,0.42,0.38,0.0,0.16,0.96,77.0,148.0,7.7,310.0,Evolution Studios,T,"MotorStorm,Apocalypse,MotorStorm: Apocalypse",3/31/2011
854,1111,1111,Bakugan Battle Brawlers: Defenders of the Core,DS,2010.0,Action,Activision,1.1,0.05,0.04,0.09,1.2899999999999998,,,0.0,,Now Production,E10+,"Bakugan Battle Brawlers: Defenders of the Core,Bakugan Battle Brawlers,Defenders of the Core",10/29/2010
855,1112,1112,Major League Baseball 2K13,Xbox 360,2013.0,Sports,Take-Two Interactive,1.02,0.0,0.0,0.1,1.1099999999999999,,,,,,,Major League Baseball 2K13,3/5/2013
858,1117,1117,Rock Band 4,Xbox One,2015.0,Misc,Harmonix Music Systems,1.02,0.13,0.0,0.17,1.3199999999999998,78.66666666666667,105.0,6.366666666666667,195.0,Harmonix Music Systems,T,"Rock Band 4,Rock Band",10/6/2015
863,1123,1123,Dragon Age Origins: Awakening,Xbox 360,2010.0,Role-Playing,Electronic Arts,0.91,0.30000000000000004,0.0,0.12000000000000001,1.3399999999999999,,,,,,,"Dragon Age Origins: Awakening,Awakening,Dragon Age Origins",3/16/2010
864,1124,1124,FlingSmash,Wii,2010.0,Action,Nintendo,0.74,0.02,0.14,0.04,0.94,48.0,52.0,6.8,26.0,Artoon,E,FlingSmash,11/7/2010
866,1126,1126,Rise of Nightmares,Xbox 360,2011.0,Action,Sega,0.56,0.26,0.02,0.08,0.94,54.0,112.0,7.8,88.0,Sega,M,Rise of Nightmares,9/6/2011
868,1128,1128,Art Academy: Lessons for Everyone,3DS,2012.0,Action,Nintendo,0.4,0.08,0.42,0.04,0.92,81.0,28.0,7.6,44.0,"Nintendo, Headstrong Games",E,"Lessons for Everyone,Art Academy: Lessons for Everyone,Art Academy",10/1/2012
869,1129,1129,One Piece: Pirate Warriors 3,PS4,2015.0,Action,Namco Bandai Games,0.18,0.44,0.2,0.12,0.92,74.0,68.0,7.4,236.0,Omega Force,T,"One Piece,Pirate Warriors 3,One Piece: Pirate Warriors 3,One Piece: Pirate Warriors",8/25/2015
873,1138,1138,Silent Hill: Downpour,PS3,2012.0,Action,Konami Digital Entertainment,0.64,0.38,0.08,0.13999999999999999,1.24,65.33333333333333,120.0,7.033333333333334,793.0,Vatra,M,"Silent Hill,Silent Hill: Downpour,Downpour",3/13/2012
881,1149,1149,Major League Baseball 2K11,Xbox 360,2011.0,Sports,Take-Two Interactive,1.3000000000000003,0.12,0.0,0.12999999999999998,1.5200000000000002,,,3.2249999999999996,,Visual Concepts,E,Major League Baseball 2K11,3/8/2011
882,1150,1150,Scooby-Doo! and the Spooky Swamp,Wii,2010.0,Action,Warner Bros. Interactive Entertainment,0.9099999999999999,0.45999999999999996,0.0,0.19,1.54,,,,,,,Scooby-Doo! and the Spooky Swamp,9/14/2010
883,1151,1151,Red Faction: Armageddon,PS3,2011.0,Shooter,THQ,0.6300000000000001,0.48,0.06999999999999999,0.19000000000000003,1.3800000000000001,72.0,207.0,7.075,466.0,Volition Inc.,M,"Armageddon,Red Faction: Armageddon,Red Faction",6/7/2011
885,1154,1154,F.E.A.R. 3,PS3,2011.0,Shooter,Warner Bros. Interactive Entertainment,0.76,0.51,0.03,0.21000000000000002,1.5,74.25,201.0,6.775,765.0,Day 1 Studios,M,"F.E.A.R.,F.E.A.R. 3",6/21/2011
886,1156,1156,Pro Evolution Soccer 2017,PS4,2016.0,Sports,Konami Digital Entertainment,0.07,0.6400000000000001,0.28,0.11,1.12,,,7.0,1076.0,Konami,E,"Pro Evolution Soccer,Pro Evolution Soccer 2017",9/13/2016
887,1157,1157,Dead or Alive: Dimensions,3DS,2011.0,Fighting,Ubisoft Annecy,0.26,0.42,0.14,0.06,0.9,79.0,124.0,8.2,226.0,Team Ninja,T,"Dead or Alive,Dead or Alive: Dimensions,Dimensions",5/24/2011
892,1163,1163,Disney Guilty Party,Wii,2010.0,Misc,Disney Interactive Studios,0.84,0.0,0.0,0.06,0.9,78.0,26.0,8.0,8.0,Wideload Games Inc.,E,Disney Guilty Party,8/31/2010
894,1167,1167,Virtua Tennis 4,PS3,2011.0,Sports,Sega,0.33999999999999997,0.6499999999999999,0.06999999999999999,0.19,1.25,68.25,150.0,6.725,72.0,Sega,E,"Virtua Tennis,Virtua Tennis 4",4/29/2011
899,1174,1174,Transformers: Fall of Cybertron,Xbox 360,2012.0,Action,Activision,0.76,0.38,0.0,0.14,1.28,78.25,149.0,8.175,528.0,High Moon Studios,T,"Fall of Cybertron,Transformers: Fall of Cybertron,Transformers",8/21/2012
900,1176,1176,Madden NFL 12,Wii,2011.0,Sports,Electronic Arts,1.03,0.0,0.0,0.08,1.11,,,4.133333333333334,,EA Tiburon,E,"Madden NFL 12,Madden NFL,Madden",8/30/2011
902,1178,1178,Child of Eden,Xbox 360,2011.0,Shooter,Ubisoft,0.56,0.24,0.0,0.08,0.88,84.0,162.0,7.7,190.0,Q Entertainment,E10+,Child of Eden,6/16/2011
903,1179,1179,Spider-Man: Shattered Dimensions,PS3,2010.0,Action,Activision,1.05,0.42000000000000004,0.0,0.16,1.67,74.4,208.0,7.459999999999999,309.0,Beenox,T,"Spider-Man: Shattered Dimensions,Shattered Dimensions,Spider-Man",9/7/2010
905,1182,1182,Ninja Gaiden 3,PS3,2012.0,Action,Tecmo Koei,0.68,0.26,0.25,0.14,1.2899999999999998,,,,,Team Ninja,M,"Ninja Gaiden 3,Ninja Gaiden",3/20/2012
906,1183,1183,Tetris Axis,3DS,2011.0,Puzzle,Tetris Online,0.4,0.26,0.12,0.06,0.86,74.0,66.0,6.8,56.0,Hudson Soft,E,Tetris Axis,10/2/2011
908,1186,1186,Hyrule Warriors,3DS,2016.0,Action,Nintendo,0.34,0.26,0.22,0.06,0.86,,,,,,,Hyrule Warriors,3/25/2016
909,1187,1187,Naruto Shippuden: Ultimate Ninja Storm Revolution,PS3,2014.0,Fighting,Namco Bandai Games,0.44,0.34,0.18,0.13999999999999999,1.08,69.33333333333333,63.0,7.433333333333334,244.0,CyberConnect2,T,"Naruto Shippuden,Naruto Shippuden: Ultimate Ninja Storm Revolution,Naruto,Ultimate Ninja Storm Revolution",9/16/2014
910,1188,1188,Naughty Bear,PS3,2010.0,Action,505 Games,0.57,0.51,0.0,0.18000000000000002,1.26,43.0,113.0,5.533333333333334,168.0,Artificial Mind and Movement,T,Naughty Bear,6/23/2010
915,1198,1198,Hometown Story,3DS,2013.0,Role-Playing,Rising Star Games,0.46,0.24,0.08,0.08,0.86,47.0,28.0,6.0,48.0,TOYBOX,E10+,Hometown Story,10/22/2013
917,1200,1200,Max Payne 3,Windows,2012.0,Shooter,Take-Two Interactive,0.32,0.44,0.0,0.1,0.86,87.0,60.0,7.6,4404.0,Rockstar Studios,M,"Max Payne 3,Max Payne",5/29/2012
918,1202,1202,Alpha Protocol,PS3,2010.0,Role-Playing,Sega,0.61,0.46,0.0,0.18000000000000002,1.25,63.666666666666664,166.0,7.0,435.0,Obsidian Entertainment,M,Alpha Protocol,6/1/2010
919,1203,1203,Wolfenstein: The Old Blood,PS4,2015.0,Action,Bethesda Softworks,0.27,0.5700000000000001,0.04,0.13,1.01,75.66666666666667,131.0,8.0,635.0,MachineGames,,"Wolfenstein: The Old Blood,The Old Blood,Wolfenstein",5/5/2015
922,1210,1210,Batman: Arkham Origins Blackgate,Vita,2013.0,Action,Warner Bros. Interactive Entertainment,0.48,0.43000000000000005,0.0,0.22,1.1099999999999999,63.333333333333336,83.0,6.8,250.0,Armature Studio,T,"Batman,Arkham Origins Blackgate,Batman: Arkham Origins Blackgate",10/25/2013
923,1213,1213,Trials Fusion,PS4,2014.0,Racing,Ubisoft,0.26,0.44,0.02,0.14,0.84,79.0,102.0,7.2,488.0,RedLynx,E10+,Trials Fusion,4/16/2014
924,1214,1214,Virtua Tennis 4: World Tour,Vita,2011.0,Sports,Sega,0.08,0.56,0.02,0.18,0.84,,,,,,,"Virtua Tennis 4: World Tour,World Tour,Virtua Tennis 4",4/29/2011
925,1215,1215,Just Dance: Summer Party,Wii,2011.0,Misc,Ubisoft,0.8,0.0,0.0,0.04,0.84,,,0.0,,Ubisoft,E10+,"Just Dance,Just Dance: Summer Party,Summer Party",7/19/2011
926,1217,1217,Metro: Last Light,PS3,2013.0,Action,Deep Silver,0.51,0.62,0.06,0.19,1.38,80.5,137.0,8.35,4110.0,4A Games,,"Metro,Last Light,Metro: Last Light",5/14/2013
931,1223,1223,TRON: Evolution,PS3,2010.0,Action,Disney Interactive Studios,1.05,0.29,0.0,0.15,1.5199999999999998,,,4.066666666666666,,Propaganda Games,T,"Evolution,TRON: Evolution,TRON",12/7/2010
932,1224,1224,Animal Crossing: Amiibo Festival,Wii U,2015.0,Misc,Nintendo,0.38,0.22,0.18,0.06,0.82,46.0,40.0,4.4,346.0,"Nintendo, Nd Cube",E,"Amiibo Festival,Animal Crossing: Amiibo Festival,Animal Crossing",11/13/2015
937,1233,1233,Terraria,PS3,2013.0,Action,505 Games,0.14,0.4,0.18,0.1,0.82,81.0,24.0,7.9,140.0,Engine Software,T,Terraria,3/26/2013
941,1237,1237,Green Day: Rock Band,PS3,2010.0,Misc,MTV Games,0.84,0.54,0.0,0.19,1.5899999999999999,75.75,148.0,7.0,91.0,"Harmonix Music Systems, Demiurge Studios",T,"Green Day: Rock Band,Green Day,Rock Band",6/8/2010
945,1245,1245,WWE All Stars,PS3,2011.0,Fighting,THQ,0.74,0.5700000000000001,0.0,0.22,1.53,,,6.2,97.0,THQ,T,"WWE All Stars,WWE",3/29/2011
947,1248,1248,Resistance: Burning Skies,Vita,2012.0,Shooter,Sony Computer Entertainment,0.36,0.3,0.04,0.12,0.82,60.0,126.0,6.8,490.0,Nihilistic,M,"Resistance: Burning Skies,Burning Skies,Resistance",5/29/2012
950,1254,1254,Just Dance Kids 2,Xbox 360,2011.0,Misc,Ubisoft,0.9299999999999999,0.26,0.0,0.12,1.31,,,0.0,,Ubisoft,E,"Just Dance Kids,Just Dance Kids 2",10/25/2011
952,1258,1258,Metal Gear Solid: The Legacy Collection,PS3,2013.0,Adventure,Konami Digital Entertainment,0.62,0.02,0.06,0.12,0.8,93.0,8.0,9.0,510.0,Konami,M,"Metal Gear Solid: The Legacy Collection,MGS,The Legacy Collection,Metal Gear Solid",7/9/2013
953,1261,1261,The Wonderful 101,Wii U,2013.0,Action,Nintendo,0.38,0.2,0.16,0.06,0.8,78.0,150.0,8.5,990.0,PlatinumGames,T,"The Wonderful,The Wonderful 101",9/15/2013
954,1262,1262,SpongeBob SquigglePants,Wii,2011.0,Misc,THQ,0.7,0.04,0.0,0.06,0.8,59.0,24.0,0.0,,WayForward,E,SpongeBob SquigglePants,4/12/2011
955,1263,1263,Asura's Wrath,PS3,2012.0,Action,Capcom,0.51,0.3,0.13,0.12000000000000001,1.04,71.0,132.0,7.1000000000000005,469.0,CyberConnect2,T,Asura's Wrath,2/21/2012
956,1265,1265,Ragnarok Odyssey,Vita,2012.0,Role-Playing,GungHo,0.4,0.02,0.32,0.06,0.8,66.0,42.0,7.8,222.0,Game Arts,T,Ragnarok Odyssey,10/30/2012
957,1266,1266,The Gunstringer,Xbox 360,2011.0,Shooter,Microsoft Game Studios,0.52,0.2,0.0,0.08,0.8,77.0,120.0,8.1,80.0,Twisted Pixel Games,T,The Gunstringer,9/13/2011
963,1274,1274,No More Heroes 2: Desperate Struggle,Wii,2010.0,Action,Rising Star Games,0.4,0.22,0.08,0.06,0.78,84.0,136.0,8.8,368.0,Grasshopper Manufacture,M,"Desperate Struggle,No More Heroes 2: Desperate Struggle,No More Heroes 2",1/26/2010
964,1275,1275,Fishing Resort,Wii,2011.0,Sports,Namco Bandai Games,0.28,0.0,0.5,0.02,0.78,69.0,18.0,7.0,16.0,Prope,E,Fishing Resort,11/22/2011
965,1276,1276,Armored Core V,PS3,2012.0,Simulation,Namco Bandai Games,0.31,0.11,0.52,0.05,0.99,66.0,89.0,7.266666666666667,131.0,From Software,T,"Armored Core,Armored Core V",3/20/2012
966,1277,1277,Saints Row IV,PS4,2015.0,Action,Deep Silver,0.36,0.44999999999999996,0.06,0.13999999999999999,0.98,,,,,,,"Saints Row IV,Saints Row",1/20/2015
968,1282,1282,Dishonored,PS4,2015.0,Action,Bethesda Softworks,0.32999999999999996,0.45,0.04,0.13,0.93,,,,,,,Dishonored,8/25/2015
970,1285,1285,Madden NFL Football,3DS,2011.0,Sports,Electronic Arts,0.72,0.02,0.0,0.06,0.78,49.0,36.0,5.3,32.0,EA Tiburon,E,"Madden,Madden NFL Football",3/22/2011
974,1290,1290,Combat of Giants: Dinosaurs 3D,3DS,2011.0,Strategy,Ubisoft,0.5,0.12,0.1,0.06,0.78,44.0,36.0,5.3,18.0,Ubisoft,E10+,"Combat of Giants: Dinosaurs 3D,Combat of Giants,Dinosaurs 3D",3/27/2011
975,1291,1291,Until Dawn: Rush of Blood,PS4,2016.0,Adventure,Sony Computer Entertainment,0.36,0.3,0.0,0.14,0.78,72.0,98.0,8.0,136.0,SuperMassive Games,M,"Rush of Blood,Until Dawn: Rush of Blood,Until Dawn",10/13/2016
976,1293,1293,Super Monkey Ball: Step & Roll,Wii,2010.0,Action,Sega,0.3,0.38,0.0,0.08,0.78,,,,,,,"Step & Roll,Super Monkey Ball: Step & Roll,Super Monkey Ball",2/9/2010
978,1297,1297,Disney Princess: Enchanting Storybooks,Wii,2011.0,Misc,THQ,0.5700000000000001,0.23,0.0,0.06999999999999999,0.9,,,0.0,,Page 44 Studios,E,"Enchanting Storybooks,Disney Princess: Enchanting Storybooks,Disney Princess",11/1/2011
979,1298,1298,The Darkness II,Xbox 360,2012.0,Shooter,Take-Two Interactive,0.72,0.38,0.0,0.12,1.2400000000000002,79.0,190.0,7.550000000000001,1013.0,Digital Extremes,M,"The Darkness II,The Darkness",2/7/2012
982,1303,1303,Samurai Warriors Chronicles,3DS,2011.0,Action,Tecmo Koei,0.24,0.1,0.4,0.02,0.78,61.0,60.0,7.7,70.0,Omega Force,T,Samurai Warriors Chronicles,3/25/2011
985,1307,1307,Dungeon Siege III,PS3,2011.0,Role-Playing,Square Enix,0.63,0.46,0.06999999999999999,0.15,1.3199999999999998,71.5,196.0,5.8,673.0,Obsidian Entertainment,T,"Dungeon Siege,Dungeon Siege III",6/21/2011
986,1308,1308,Sonic & All-Stars Racing Transformed,Vita,2012.0,Racing,Sega,0.18,0.4,0.0,0.18,0.76,,,,,,,"Sonic & All-Stars Racing Transformed,Sonic",12/18/2012
990,1314,1314,Metal Gear Solid: Snake Eater 3D,3DS,2012.0,Action,Konami Digital Entertainment,0.3,0.22,0.2,0.04,0.76,78.0,92.0,7.8,334.0,Kojima Productions,M,"MGS,Metal Gear Solid,Metal Gear Solid: Snake Eater 3D,Snake Eater 3D",2/21/2012
992,1317,1317,Deus Ex: Mankind Divided,PS4,2016.0,Role-Playing,Square Enix,0.31,0.48,0.0,0.13,0.93,83.66666666666667,136.0,7.466666666666666,1197.0,Eidos Montreal,M,"Deus Ex: Mankind Divided,Deus Ex,Mankind Divided",8/23/2016
995,1322,1322,Get Fit with Mel B,PS3,2010.0,Sports,Black Bean Games,0.3,0.32,0.0,0.14,0.76,73.0,8.0,5.8,8.0,Lightning Fish Games,E,Get Fit with Mel B,10/20/2010
996,1324,1324,Sesame Street: Elmo's A-to-Zoo Adventure,Wii,2010.0,Misc,Warner Bros. Interactive Entertainment,1.0,0.0,0.0,0.06,1.09,,,,,Black Lantern Studios,EC,"Sesame Street,Sesame Street: Elmo's A-to-Zoo Adventure,Elmo's A-to-Zoo Adventure",10/19/2010
999,1329,1329,Pro Evolution Soccer 2011 3D,3DS,2011.0,Sports,Konami Digital Entertainment,0.22,0.26,0.22,0.04,0.76,73.0,86.0,6.7,36.0,Konami,E,Pro Evolution Soccer 2011 3D,3/27/2011
1002,1333,1333,GRID 2,PS3,2013.0,Racing,Codemasters,0.22000000000000003,0.6,0.02,0.19,1.01,80.66666666666667,91.0,6.333333333333333,502.0,Codemasters,E,"GRID,GRID 2",5/28/2013
1003,1334,1334,Resident Evil Zero,PS4,2016.0,Action,Capcom,0.26,0.37000000000000005,0.1,0.11,0.84,,,,,,,"Resident Evil Zero,Resident Evil",1/19/2016
1005,1336,1336,Farming Simulator 2015,PS3,2015.0,Simulation,Koch Media,0.32,0.6000000000000001,0.0,0.18,1.0899999999999999,,,,,,,"Farming Simulator,Farming Simulator 2015",5/19/2015
1009,1341,1341,EA Sports MMA,PS3,2010.0,Fighting,Electronic Arts,0.55,0.37,0.02,0.13999999999999999,1.0899999999999999,77.66666666666667,157.0,6.933333333333334,131.0,EA Tiburon,T,EA Sports MMA,10/19/2010
1010,1342,1342,Tiger Woods PGA Tour 14,PS3,2013.0,Sports,Electronic Arts,0.53,0.4,0.0,0.17,1.0899999999999999,75.0,84.0,4.6000000000000005,78.0,EA Tiburon,E,"Tiger Woods PGA Tour 14,Tiger Woods PGA Tour",3/26/2013
1013,1346,1346,BioShock The Collection,PS4,2016.0,Shooter,Take-Two Interactive,0.28,0.44,0.04,0.13,0.9,84.0,94.0,8.433333333333334,499.0,2K Games,M,BioShock The Collection,9/13/2016
1014,1347,1347,Theatrhythm Final Fantasy: Curtain Call,3DS,2014.0,Misc,Square Enix,0.26,0.16,0.3,0.04,0.74,83.0,104.0,8.2,132.0,Indies Zero,T,"Theatrhythm Final Fantasy: Curtain Call,Theatrhythm Final Fantasy,Curtain Call,Final Fantasy",9/16/2014
1015,1348,1348,Rocket League,PS4,2016.0,Sports,505 Games,0.12,0.7700000000000001,0.0,0.12000000000000001,1.04,85.75,142.0,8.475,3354.0,Psyonix,E,Rocket League,2/17/2016
1019,1352,1352,DiRT Rally,PS4,2016.0,Racing,Codemasters,0.12,0.62,0.0,0.11,0.86,85.33333333333333,109.0,8.066666666666666,452.0,Codemasters,E,DiRT Rally,4/5/2016
1022,1356,1356,Batman: Arkham City,Wii U,2012.0,Action,Warner Bros. Interactive Entertainment,0.32,0.36,0.0,0.06,0.72,,,,,,,"Batman,Batman: Arkham City,Arkham City",11/18/2012
1024,1358,1358,Sid Meier's Civilization: Beyond Earth,Windows,2014.0,Strategy,Take-Two Interactive,0.22,0.44,0.0,0.06,0.72,81.0,156.0,5.5,2054.0,Firaxis Games,E10+,"Beyond Earth,Civilization,Sid Meier's Civilization,Civ,Sid Meier's Civilization: Beyond Earth",10/24/2014
1027,1361,1361,Star Fox: Zero,Wii U,2016.0,Shooter,Nintendo,0.34,0.2,0.14,0.06,0.72,69.0,164.0,7.4,1324.0,PlatinumGames,E10+,"Star Fox,Zero,Star Fox: Zero,Star Fox:",4/23/2016
1028,1363,1363,Sword Art Online: Lost Song,Vita,2015.0,Role-Playing,Namco Bandai Games,0.12,0.08,0.46,0.06,0.72,70.0,8.0,7.1,54.0,"Bandai Namco Games, Artdink",T,"Sword Art Online,Lost Song,Sword Art Online: Lost Song",11/17/2015
1029,1364,1364,Zoo Tycoon (2013),Xbox One,2013.0,Simulation,Microsoft Game Studios,0.38,0.36,0.0,0.06999999999999999,0.7999999999999999,,,,,,,"Zoo Tycoon (2013),Zoo Tycoon",11/22/2013
1036,1378,1378,Farming Simulator 2015,Xbox 360,2015.0,Simulation,Koch Media,0.44,0.22,0.0,0.06,0.7,,,,,,,"Farming Simulator,Farming Simulator 2015",5/8/2015
1038,1381,1381,Dark Void,PS3,2010.0,Action,Capcom,0.55,0.32999999999999996,0.0,0.13,1.01,59.0,169.0,6.0,133.0,Airtight Games,T,Dark Void,1/19/2010
1039,1383,1383,Assassin's Creed III,Wii U,2012.0,Action,Ubisoft,0.38,0.26,0.0,0.06,0.7,85.0,52.0,7.1,432.0,Ubisoft Quebec,M,"Assassin's Creed,Assassin's Creed III",11/18/2012
1040,1384,1384,One Piece: Burning Blood,PS4,2016.0,Fighting,Namco Bandai Games,0.25,0.28,0.14,0.11,0.76,64.0,100.0,7.133333333333333,110.0,Spike Chunsoft,T,"One Piece,One Piece: Burning Blood,Burning Blood",5/31/2016
1046,1393,1393,Mirror's Edge Catalyst,PS4,2016.0,Platform,Electronic Arts,0.32,0.43,0.04,0.11,0.9199999999999999,71.0,170.0,4.550000000000001,2028.0,EA DICE,T,Mirror's Edge Catalyst,6/7/2016
1048,1395,1395,TrackMania Turbo,PS4,2016.0,Action,Ubisoft,0.08,0.56,0.0,0.1,0.76,79.33333333333333,116.0,7.833333333333333,247.0,Nadeo,E,TrackMania Turbo,3/22/2016
1051,1399,1399,SpongeBob's Boating Bash,Wii,2010.0,Misc,THQ,0.61,0.14,0.0,0.06999999999999999,0.8300000000000001,,,5.066666666666666,,Impulse Games,E,SpongeBob's Boating Bash,3/2/2010
1053,1403,1403,Supreme Commander 2,Xbox 360,2010.0,Strategy,Square Enix,0.46,0.18,0.0,0.06,0.68,75.0,56.0,7.1,46.0,Gas Powered Games,E10+,"Supreme Commander 2,Supreme Commander",3/2/2010
1054,1406,1406,Company of Heroes 2,Windows,2013.0,Strategy,THQ,0.12,0.5,0.0,0.08,0.68,80.0,164.0,2.1,12314.0,Relic,M,"Company of Heroes 2,Company of Heroes",6/25/2013
